No.,Symbol,Company Name,Revenue,Stock Price,% Change,Market Cap
287,RCL,Royal Caribbean Cruises Ltd.,13.90B,130.90,-1.71%,33.60B
288,DXC,DXC Technology Company,13.87B,21.16,-4.21%,3.87B
289,LKQ,LKQ Corporation,13.87B,50.52,-2.58%,13.47B
290,MOS,The Mosaic Company,13.70B,32.68,-1.89%,10.51B
291,TXT,Textron Inc.,13.68B,95.64,-0.70%,18.40B
292,PFG,"Principal Financial Group, Inc.",13.67B,81.27,-1.86%,19.17B
293,CNA,CNA Financial Corporation,13.30B,44.01,-0.20%,11.92B
294,K,Kellanova Co,13.12B,57.01,-0.19%,19.48B
295,REGN,"Regeneron Pharmaceuticals, Inc.",13.12B,936.20,-0.81%,101.06B
296,DKS,"DICK'S Sporting Goods, Inc.",12.98B,206.41,-0.23%,17.02B
297,FE,FirstEnergy Corp.,12.87B,37.84,-1.64%,21.74B
298,EXPE,"Expedia Group, Inc.",12.84B,131.40,-1.40%,17.18B
299,JBHT,"J.B. Hunt Transport Services, Inc.",12.83B,188.19,-3.22%,19.44B
300,DTE,DTE Energy Company,12.75B,106.64,-2.94%,22.00B
301,AES,The AES Corporation,12.67B,17.68,-3.34%,12.56B
302,GLW,Corning Incorporated,12.59B,31.95,-1.84%,27.33B
303,EME,"EMCOR Group, Inc.",12.58B,350.06,-0.52%,16.48B
304,APH,Amphenol Corporation,12.55B,114.76,-0.19%,68.84B
305,WLK,Westlake Corporation,12.55B,157.49,-2.82%,20.19B
306,FWONA,Formula One Group - Series A,12.53B,59.69,-2.52%,28.32B
307,SPGI,S&P Global Inc.,12.50B,424.04,-2.52%,135.80B
308,CYH,"Community Health Systems, Inc.",12.49B,3.00,-3.54%,410.21M
309,BERY,"Berry Global Group, Inc.",12.46B,59.00,-1.47%,6.84B
310,APD,"Air Products and Chemicals, Inc.",12.42B,235.91,-1.56%,52.44B
311,UNM,Unum Group,12.39B,51.09,-1.05%,9.78B
312,HSIC,"Henry Schein, Inc.",12.34B,71.86,-1.79%,9.23B
313,LH,Laboratory Corporation of America Holdings,12.16B,207.17,-1.37%,17.42B
314,NSC,Norfolk Southern Corporation,12.16B,249.65,-1.48%,56.39B
315,ETR,Entergy Corporation,12.15B,104.56,-1.66%,22.30B
316,WRB,W. R. Berkley Corporation,12.14B,83.93,0.23%,21.53B
